"model1","model2","model3","model4","model5","model6","model7","model8","model9","model10","model11","model12","model13","model14","model15","model16","model17","model18","model19","model20","model21","model22","year"
0.74969,0.83265,0.53392,0.67372,0.6665,1.0201,0.98066,1.1176,0.88798,0.98456,0.87196,0.74817,0.63967,0.54252,0.76906,0.47465,0.495,0.59559,1.4959,0.90959,0.75309,1.0603,1977
0.88394,0.83911,0.62427,0.65687,0.68368,0.96938,1.1075,1.6554,0.71207,0.85012,0.90889,0.51882,0.44368,0.63915,0.73713,0.32724,0.29083,0.46839,1.5591,1.0001,0.93191,0.58889,1978
0.78135,0.74757,0.39024,0.72687,1.111,0.95328,0.97254,1.2029,0.78481,0.93714,0.88491,0.69386,0.50445,0.42616,0.7774,0.35322,0.4964,0.55218,1.5702,0.93282,0.96786,1.2369,1979
0.83084,1.0693,0.52304,0.59985,1.1203,1.0057,0.99279,1.5343,0.92652,0.79629,0.91428,0.53561,0.70716,0.49743,0.81303,0.42182,0.66078,0.30655,1.7048,0.70758,0.93817,1.128,1980
0.49915,0.86546,0.52768,0.59391,1.0136,0.97201,0.94209,0.77495,0.87315,0.92797,0.89243,0.64478,0.55548,0.48842,0.78927,0.76923,0.48332,0.5312,1.6911,0.68523,1.0232,0.94038,1981
0.73308,0.51645,0.30991,0.71461,1.1982,1.0124,0.98971,0.76616,0.98056,0.87781,0.68889,0.49089,0.65144,0.38463,0.68993,0.68931,0.34025,0.32631,1.7221,0.95953,0.87923,0.85397,1982
0.72949,0.77899,0.49938,0.44814,0.86306,0.92688,0.57223,1.3337,0.73669,1.0296,0.89645,0.74416,0.56276,0.44357,0.7903,0.46515,0.53435,0.4148,1.6863,0.81393,1.0383,1.0186,1983
0.79168,0.82817,0.44094,0.57533,0.99398,1.0709,0.85587,1.1118,0.83108,0.68732,0.96376,0.55118,0.56702,0.62245,0.82565,0.47349,0.48092,0.30615,1.3486,0.83111,0.90037,0.90218,1984
0.99978,0.92589,0.65977,0.6375,0.70412,1.0421,1.0367,1.3058,1.1297,0.78769,0.93078,0.57366,0.69529,0.51812,0.74288,0.40446,0.23386,0.31995,1.73,1.0524,1.0447,0.86956,1985
0.84668,0.6261,0.4059,0.63533,1.0847,1.0277,0.93509,1.4929,0.71007,0.98801,0.79423,0.56583,0.70829,0.38981,0.84956,0.23769,0.41614,0.36618,1.6481,0.86659,1.0392,0.71607,1986
0.78327,0.73779,0.57905,0.61156,0.88607,1.03,1.1707,1.4045,0.96403,0.73643,0.607,0.65604,0.56614,0.34515,0.77054,0.41003,0.23191,0.50894,1.7483,0.91655,0.91098,0.94142,1987
0.82692,0.90635,0.83549,0.72946,0.99049,1.1061,0.97916,1.4028,0.71671,1.0168,1.1072,0.54167,0.65265,0.40408,0.65455,0.40006,0.57295,0.52179,1.4537,0.6347,0.99666,0.98587,1988
0.62158,0.74389,0.40344,0.60619,0.76156,1.167,1.0674,1.275,0.88258,0.98593,1.0439,0.89011,0.47455,0.55736,0.72653,0.39702,0.28346,0.62504,1.7034,0.64774,0.95274,0.84436,1989
0.81375,0.81652,0.68243,0.57206,0.72739,1.0393,0.74706,1.1178,1.169,0.87622,0.86566,0.80447,0.7329,0.55499,0.66793,0.52547,0.40362,0.55276,1.6701,1.0212,0.91564,1.0317,1990
0.65081,1.1396,0.52977,0.63475,0.70563,1.057,1.0086,1.2667,0.84811,0.90396,0.82341,0.71756,0.79676,0.58512,0.83797,0.45423,0.59286,0.49946,1.5316,0.86333,0.72043,1.144,1991
0.74025,0.80643,0.61246,0.74392,0.92094,0.88573,1.0469,1.3867,0.84095,0.77563,0.78141,0.74356,0.83318,0.52187,0.67476,0.53118,0.44554,0.50533,1.3741,0.81738,0.92078,1.0277,1992
