"model1","model2","model3","model4","model5","model6","model7","model8","model9","model10","model11","model12","model13","model14","model15","model16","model17","model18","model19","model20","model21","model22","year"
0.31617,0.53234,0.3648,0.23697,0.1741,0.30134,0.64181,0.49474,0.34071,0.52982,0.19926,0.53066,0.38031,0.16407,0.19482,0.1492,0.22942,0.30044,0.43632,0.33504,0.29317,0.064086,1977
0.28739,0.24144,0.30245,0.18157,0.19836,0.39503,0.729,0.45093,0.35747,0.20087,0.18881,0.49245,0.49383,0.20348,0.24421,0.14988,0.269,0.27374,0.4868,0.50563,0.2956,0.31852,1978
0.39169,0.41012,0.38483,0.20863,0.16354,0.35156,0.78439,0.50383,0.44205,0.13339,0.30627,0.39815,0.55991,0.23925,0.19988,0.075621,0.27246,0.13865,0.34214,0.22416,0.40449,0.30119,1979
0.39271,0.44162,0.36241,0.17753,0.12342,0.50609,0.45611,0.5829,0.39268,0.29223,0.20629,0.33168,0.46578,0.23927,0.21562,0.16641,0.18856,0.15229,0.41968,0.48828,0.32564,0.45267,1980
0.59046,0.4726,0.37203,0.19444,0.19214,0.44418,0.63566,0.54751,0.51958,0.28584,0.32379,0.46361,0.40558,0.20059,0.27989,0.12948,0.21863,0.25645,0.53622,0.42492,0.20049,0.48178,1981
0.34486,0.33596,0.34832,0.22794,0.32377,0.34781,0.65875,0.4138,0.23955,0.26459,0.34639,0.44776,0.50243,0.2288,0.22224,0.091418,0.18464,0.176,0.59156,0.41431,0.33025,0.2403,1982
0.42588,0.28858,0.30973,0.28339,0.32753,0.31705,0.57656,0.49709,0.3542,0.40412,0.27626,0.28808,0.40647,0.12178,0.16161,0.21698,0.21816,0.25319,0.62983,0.17298,0.19252,0.21804,1983
0.40693,0.4132,0.31204,0.23376,0.18783,0.47716,0.51236,0.50378,0.41724,0.36266,0.4481,0.45448,0.44719,0.18133,0.21197,0.15071,0.21393,0.14873,0.61786,0.47622,0.25429,0.247,1984
0.4756,0.31795,0.354,0.23663,0.17406,0.30762,0.68638,0.62841,0.27807,0.36354,0.23356,0.36525,0.38285,0.18351,0.23601,0.14548,0.30554,0.24439,0.47404,0.34134,0.32106,0.35073,1985
0.43396,0.50485,0.40667,0.19242,0.15516,0.5398,0.61026,0.44757,0.40367,0.32046,0.26697,0.48351,0.36976,0.17834,0.22654,0.19354,0.19305,0.25105,0.33381,0.38399,0.25577,0.19251,1986
0.43288,0.39728,0.38903,0.21035,0.12712,0.42047,0.62218,0.57819,0.47241,0.3045,0.35056,0.6059,0.57294,0.14958,0.17294,0.047707,0.25421,0.23769,0.47741,0.4332,0.4328,0.3321,1987
0.3583,0.41076,0.41878,0.18843,0.22605,0.30221,0.73122,0.55041,0.38367,0.3355,0.22131,0.57846,0.47553,0.1365,0.2016,0.065132,0.14011,0.24533,0.55261,0.57135,0.43219,0.39907,1988
0.49405,0.48092,0.3457,0.2187,0.14072,0.2138,0.649,0.49174,0.36995,0.31605,0.36575,0.4596,0.45092,0.16994,0.22288,0.1553,0.17495,0.21849,0.61415,0.37703,0.30602,0.54715,1989
0.42176,0.39244,0.32006,0.18437,0.16998,0.37432,0.54744,0.51674,0.43397,0.25174,0.27898,0.41638,0.43152,0.11363,0.21583,0.1345,0.26694,0.17597,0.48344,0.44785,0.25455,0.37141,1990
0.33547,0.42903,0.35111,0.21731,0.2947,0.28258,0.59208,0.58837,0.31189,0.28915,0.36392,0.4572,0.4822,0.18174,0.23074,0.1523,0.15306,0.44946,0.55632,0.3914,0.33414,0.077483,1991
0.3953,0.34552,0.35937,0.18265,0.19601,0.42919,0.67148,0.54366,0.43129,0.3208,0.17457,0.2955,0.38776,0.20176,0.21843,0.14569,0.26692,0.28401,0.37552,0.36129,0.35937,0.14503,1992
0.34191,0.3938,0.31019,0.17403,0.29489,0.34597,0.5989,0.62687,0.3256,0.30945,0.31322,0.50894,0.44045,0.20386,0.23523,0.2628,0.25842,0.24915,0.31027,0.30624,0.27697,0.28753,1993
0.48584,0.44185,0.26885,0.19774,0.18963,0.40737,0.74187,0.56296,0.38629,0.31546,0.33199,0.48985,0.41729,0.18378,0.28868,0.093449,0.28391,0.19403,0.57975,0.36354,0.24493,0.41977,1994
0.37006,0.38468,0.35151,0.22716,0.24441,0.41867,0.60188,0.70263,0.41539,0.37558,0.41357,0.42651,0.47184,0.14595,0.22338,0.12342,0.22212,0.28374,0.52531,0.41248,0.53055,0.15346,1995
0.40345,0.39259,0.31639,0.25757,0.12223,0.35977,0.71878,0.40362,0.30646,0.30944,0.34219,0.40224,0.30467,0.19417,0.23597,0.14239,0.28246,0.23712,0.52894,0.37934,0.29944,0.34687,1996
0.39789,0.35973,0.29355,0.23207,0.23229,0.43381,0.59858,0.45581,0.43471,0.26967,0.22299,0.47958,0.43041,0.14975,0.23009,0.12329,0.36939,0.27367,0.40571,0.38342,0.19616,0.24069,1997
0.34982,0.43084,0.3544,0.17977,0.27034,0.21165,0.57895,0.48543,0.43122,0.40002,0.39398,0.4922,0.5191,0.15081,0.23801,0.10312,0.30645,0.22668,0.57537,0.33211,0.47098,0.27531,1998
0.33847,0.46981,0.46491,0.14419,0.13024,0.35223,0.60487,0.57623,0.17802,0.31181,0.38147,0.48059,0.4911,0.11582,0.24448,0.17879,0.26263,0.27458,0.46317,0.37148,0.26872,0.21245,1999
